analysis_id,890mv284983ws0y
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
mouse_life_stage,Early adult
pvalue,0.9777234
parameter_id,MGP_CSD_015_001
mouse_strain,C57BL
parameter_name,Head coat/hair presence
