parameter_name,Red blood cell count
mouse_strain,C57BL
gene_accession_id,MGI:2181659
pvalue,0.6618632
parameter_id,ESLIM_016_001_002
gene_symbol,Tox
mouse_life_stage,Early adult
analysis_id,p13bz73ni3a3737
