parameter_name,Femur
gene_accession_id,MGI:1914071
analysis_id,024t77lycrqt44o
mouse_life_stage,E12.5
gene_symbol,Bcs1l
parameter_id,IMPC_XRY_024_001
pvalue,0.1267606
mouse_strain,C57BL
