analysis_id,1oc75bl43483s4o
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
pvalue,0.1043676
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
