analysis_id,156871953xy87oy
parameter_name,Effector Treg cells - % of Treg
pvalue,1.097545
gene_symbol,Col6a3
parameter_id,MGP_MLN_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
mouse_strain,C57BL
