parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
analysis_id,h69kvqv6hs0100z
parameter_id,HRWLLA_OFD_017_001
pvalue,0.2191293
gene_accession_id,MGI:88328
