gene_symbol,CDIN1
parameter_name,Total cholesterol
gene_accession_id,MGI:3026886
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CBC_015_001
pvalue,0.3684721
analysis_id,71b223rs1zaox0c
