analysis_id,zrg09o2kcq07k3y
parameter_name,Tibia length
mouse_life_stage,Early adult
gene_symbol,Psd4
pvalue,0.08261989
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
gene_accession_id,MGI:2674093
