gene_symbol,Morn5
parameter_id,ESLIM_007_001_015
pvalue,0.4649981
mouse_life_stage,Early adult
analysis_id,x2l5t9qsu5l901r
mouse_strain,C57BL
gene_accession_id,MGI:1922745
parameter_name,Number of centre entries
