analysis_id,9od4208s7c994hk
mouse_life_stage,E12.5
gene_symbol,Tiprl
parameter_id,MGP_IMM_082_001
gene_accession_id,MGI:1915087
parameter_name,Resting CD8+ T cells - % of CD45+
pvalue,0.2994549
mouse_strain,C57BL
