analysis_id,qz3776u3c8u6955
pvalue,0.4241579
parameter_name,Hindlimbs - shape
gene_symbol,Stk35
gene_accession_id,MGI:1914583
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
