gene_symbol,Fgb
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
pvalue,0.7144454
analysis_id,87f81bjz5sr57be
parameter_name,Pale yolk sac
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
