analysis_id,39jb0c25q48649v
gene_accession_id,MGI:1914071
parameter_id,IMPC_IMM_071_001
gene_symbol,Bcs1l
pvalue,0.9348364
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
mouse_life_stage,E12.5
