gene_symbol,Snap23
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
pvalue,0.3923829
analysis_id,2q10h63i35l1o5l
parameter_name,Breath rate during sleep standard deviation
mouse_strain,C57BL
parameter_id,JAX_SLW_014_001
