gene_symbol,Cdin1
pvalue,0.6700309
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
analysis_id,k5rnby37j8g1el3
parameter_id,MGP_MLN_064_001
mouse_strain,C57BL
