analysis_id,7ir1i1bd4m41w03
parameter_name,Cleft palate
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
parameter_id,IMPC_GEP_076_001
gene_symbol,Wars2
pvalue,0.6550347
mouse_strain,C57BL
