analysis_id,r40kxz5j672uz36
mouse_strain,C57BL
gene_symbol,Cldn19
pvalue,0.2901648
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
