parameter_name,Snout size
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
Pvalue,0.7850497
Parameter_id,MGP_CSD_067_001
mouse_life_stage,Middle aged adult
analysis_id,6w6osr75q48e978
