mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
pvalue,0.2031916
parameter_name,12kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_id,IMPC_ABR_006_001
analysis_id,766411l71261hx6
