parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
pvalue,0.9989067
mouse_strain,C57BL
gene_symbol,Lime1
analysis_id,ao66v50n93507u3
