analysis_id,4j4p9sq2s852766
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
pvalue,0.6746434
mouse_life_stage,Early adult
mouse_strain,B6J
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
