analysis_id,2q49ri45l74wje8
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:2140475
parameter_name,Startle response
pvalue,0.5081548
mouse_strain,C57BL
gene_symbol,AU040320
mouse_life_stage,Late adult
