parameter_name,Snout size
gene_symbol,Stk35
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,lz6e83538q7h9k5
parameter_id,MGP_CSD_067_001
pvalue,0.2585961
gene_accession_id,MGI:1914583
