gene_symbol,Gpa33
pvalue,0.7897329
mouse_life_stage,Early adult
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
analysis_id,6m3x391w01ylz49
mouse_strain,C57BL
gene_accession_id,MGI:1891703
parameter_id,MGP_IMM_026_001
