analysis_id,6dx66946j3cw999
pvalue,0.491821
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
gene_symbol,Kdm5b
parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
