parameter_id,MGP_MLN_013_001
gene_symbol,Ddx27
mouse_strain,129SV
analysis_id,m12vg9f175k1xh1
gene_accession_id,MGI:2385884
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
pvalue,0.2093158
