parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1923959
mouse_strain,C57BL
analysis_id,50980my1k79ia5t
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
pvalue,0.6093019
