gene_symbol,Mapkap1
analysis_id,2b464f5555xsttu
parameter_name,Eye
mouse_life_stage,E15.5
parameter_id,M-G-P_013_001_001
gene_accession_id,MGI:2444554
pvalue,0.8603166
mouse_strain,C57BL
