pvalue,3.706212e-05
mouse_life_stage,Early adult
parameter_name,Bone Area
gene_symbol,Stk35
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:1914583
mouse_strain,C57BL
analysis_id,ag79t8129rv7913
