analysis_id,ib2i1m7w9p42nw2
parameter_id,MGP_IMM_101_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rab22a
pvalue,0.4855124
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:105072
