analysis_id,7742gnzbvzcs1wo
pvalue,0.6373392
gene_symbol,Atf3
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
gene_accession_id,MGI:109384
mouse_strain,C57BL
mouse_life_stage,Early adult
