analysis_id,u3advws1i35v550
mouse_strain,C57BL
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
pvalue,0.3142148
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
