analysis_id,k69vaj0026475fq
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
parameter_id,MGP_PBI_030_001
pvalue,0.5649948
