analysis_id,g34lbi5n3tso0p9
mouse_life_stage,Early adult
gene_symbol,Zfp683
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:3650254
pvalue,0.6004136
mouse_strain,C57BL
parameter_name,Aspartate aminotransferase
