parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Early adult
analysis_id,2i09x4h9y3535n2
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
gene_symbol,Cmpk1
pvalue,0.2341467
gene_accession_id,MGI:1913838
