Analysis_id,y681c26587bc9fc
gene_symbol,Cd52
Pvalue,0.7361106
Mouse_life_stage,Early adult
mouse_strain,C57BL
Parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1346088
