gene_symbol,Duoxa2
parameter_name,Heart weight
analysis_id,bj233s8h1tv9015
pvalue,4.440892e-16
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1914061
mouse_strain,C57BL
mouse_life_stage,Early adult
