parameter_name,Percent time in light
analysis_id,pq586td918q0025
mouse_strain,C57BL
parameter_id,JAX_LDT_009_001
pvalue,0.1855112
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
