gene_symbol,Secisbp2l
mouse_strain,C57BL
pvalue,0.5926902
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
analysis_id,b0155cq156g093p
