analysis_id,3g86s5e9a4oo7xq
parameter_id,IMPC_IMM_004_002
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
pvalue,0.2378004
gene_accession_id,MGI:1915472
