gene_symbol,Atrn
pvalue,0.4518354
gene_accession_id,MGI:1341628
analysis_id,z2990vyss66y772
parameter_id,IMPC_EYE_092_001
parameter_name,Retina (combined)
mouse_strain,C57BL
mouse_life_stage,Early adult
