analysis_id,2m4qsujon8ls033
parameter_id,JAX_OFD_021_001
pvalue,0.6538126
gene_accession_id,MGI:99605
gene_symbol,Cntfr
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Number of rears - total
