analysis_id,3yv8f5k5zj9osg7
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1917604
pvalue,0.4234965
mouse_strain,C57BL
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
parameter_name,Retina (combined)
