parameter_name,Lens
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
gene_symbol,Bmi1
pvalue,0.452555
analysis_id,527218ktdm85ni3
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
