gene_symbol,Cd52
mouse_life_stage,Early adult
parameter_id,MGP_PBI_010_001
gene_accession_id,MGI:1346088
mouse_strain,C57BL
analysis_id,4915r7v0198615z
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.3170161
