analysis_id,t9x3354p06qpf06
gene_symbol,Slc39a10
parameter_id,MGP_IMM_125_001
parameter_name,Eosinophils - % of CD45+
pvalue,0.129344
gene_accession_id,MGI:1914515
mouse_strain,C57BL
mouse_life_stage,Early adult
