gene_symbol,Mgst2
analysis_id,8pm9am4qwd403u5
pvalue,0.296475
mouse_strain,C57BL
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
parameter_id,JAXLA_DXA_007_001
