gene_symbol,Pum1
gene_accession_id,MGI:1931749
parameter_name,B2B Cells
pvalue,0.555417
parameter_id,IMPC_IMM_065_001
analysis_id,n13em9l81d3mn01
mouse_life_stage,Early adult
mouse_strain,C57BL
