gene_symbol,Sla2
analysis_id,zt6u9s8585f7s9x
mouse_strain,C57BL
gene_accession_id,MGI:1925049
parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
pvalue,0.8856801
