analysis_id,10q3d7bc5vcksx3
parameter_id,ESLIM_008_001_017
gene_symbol,Rab17
pvalue,0.3472045
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:104640
parameter_name,Limb grasping
