parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
pvalue,0.7727209
analysis_id,bu3v9027i03266c
gene_accession_id,MGI:2441730
