gene_symbol,Usp37
parameter_name,Total ab T cells - % of CD45+
analysis_id,q09p23j5u51780o
mouse_life_stage,Early adult
pvalue,0.4385601
gene_accession_id,MGI:2442483
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
