gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
parameter_name,Lens
parameter_id,IMPC_EYE_016_001
analysis_id,sa2kti76l302293
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4844078
