gene_symbol,Trp53i11
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:2670995
analysis_id,548220g6580uvye
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
pvalue,0.5298361
mouse_life_stage,Early adult
