parameter_name,Aggression
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
parameter_id,IMPC_CSD_079_001
analysis_id,b81y33m824ps48l
pvalue,0.1632058
