analysis_id,8aul69t602l724b
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:1916220
pvalue,0.4342096
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dcaf12
