gene_symbol,Kifap3
pvalue,0.3106517
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
parameter_name,Edema
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
analysis_id,175jhji6y35qo7t
