analysis_id,3fqmo75j417v48p
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
pvalue,0.1426843
gene_symbol,Stk35
mouse_strain,C57BL
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
