parameter_name,Total food intake
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6074961
analysis_id,71w8g2jnib1675e
gene_symbol,Casq1
parameter_id,IMPC_CAL_008_001
