gene_symbol,Zmynd8
analysis_id,938gwv6co5qlbkf
mouse_strain,C57BL
gene_accession_id,MGI:1918025
parameter_id,HMGULA_CBC_003_001
pvalue,0.2547907
parameter_name,Chloride
mouse_life_stage,Early adult
