gene_symbol,Atf3
pvalue,0.801412
mouse_strain,C57BL
parameter_id,MGP_MLN_058_001
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
analysis_id,4i3vncj308c621k
gene_accession_id,MGI:109384
