parameter_name,Glucose
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_018_001
pvalue,0.09413068
gene_accession_id,MGI:2441730
analysis_id,0d006136ulz8u49
mouse_strain,C57BL
