analysis_id,q52f0vv95pygdju
parameter_id,MGP_PBI_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
mouse_strain,C54BL
gene_symbol,Ahctf1
parameter_name,B cell percentage
pvalue,0.5723358
