analysis_id,fv5alzc3sld8qz1
Gene_accession_id,MGI:2140475
pvalue,9.431663e-06
Mouse_life_stage,Late adult
Parameter_name,Coat - color - abdomen
gene_symbol,AU040320
Mouse_strain,C57BL
parameter_id,JAXLA_CSD_007_001
